Acanthis flammea
Cerorhinca monocerata
Certhia americana
Ceryle rudis
Chaetura pelagica
Chaetura vauxi
Chamaea fasciata
Charadrius dubius
Charadrius hiaticula
Charadrius melodus
Charadrius montanus
Charadrius nivosus
Charadrius semipalmatus
Charadrius vociferus
Charadrius wilsonia
Chen caerulescens
Chen rossii
Chenonetta jubata
Chlidonias niger
Chloris chloris
Chloroceryle aenea
Chloroceryle amazona
Chloroceryle americana
Chlorophanes spiza
Chondestes grammacus
Chordeiles acutipennis
Chordeiles minor
Chroicocephalus novaehollandiae
Chroicocephalus philadelphia
Chroicocephalus ridibundus
Chroicocephalus scopulinus
Ciccaba virgata
Ciconia ciconia
Cinclus cinclus
Cinclus mexicanus
Cinnyris jugularis
Circaetus gallicus
Circus aeruginosus
Circus approximans
Circus cyaneus
Circus cyaneus hudsonius
Cistothorus palustris
Cistothorus platensis
Clangula hyemalis
Coccothraustes coccothraustes
Coccothraustes vespertinus
Coccyzus americanus
Coccyzus erythropthalmus
Coccyzus minor
Cochlearius cochlearius
Coereba flaveola
Colaptes auratus
Colaptes auratus auratus
Colaptes auratus cafer
Colaptes rubiginosus
Colinus virginianus
Columba livia
Columba livia domestica
Columba palumbus
Columbina inca
Columbina passerina
Columbina talpacoti
Contopus cooperi
Contopus pertinax
Contopus sordidulus
Contopus virens
Copsychus malabaricus
Copsychus saularis
Coracias benghalensis
Coracias caudatus
Coracias garrulus
Coragyps atratus
Corvus albus
Corvus brachyrhynchos
Corvus caurinus
Corvus corax
Corvus cornix
Corvus corone
Corvus frugilegus
Corvus monedula
Corvus ossifragus
Corvus splendens
Crax rubra
Crotophaga ani
Crotophaga sulcirostris
Cuculus canorus
Cyanerpes cyaneus
Cyanistes caeruleus
Cyanocitta cristata
Cyanocitta stelleri
Cyanocompsa parellina
Cyanocorax yncas
Cyanocorax yucatanicus
Cyanoramphus novaezelandiae
Cygnus atratus
Cygnus buccinator
Cygnus columbianus
Cygnus cygnus
Cygnus olor
Cynanthus latirostris
Cyrtonyx montezumae
Dacelo novaeguineae
Delichon urbicum
Dendragapus fuliginosus
Dendragapus obscurus
Dendrocopos major
Dendrocygna autumnalis
Dendrocygna bicolor
Dendrocygna viduata
Dicrurus adsimilis
Diglossa baritula
Dives dives
Dolichonyx oryzivorus
Dryocopus lineatus
Dryocopus pileatus
Dumetella carolinensis
Egretta caerulea
Egretta garzetta
Egretta gularis
Egretta novaehollandiae
Egretta rufescens
Egretta sacra
Egretta thula
Egretta tricolor
Elanoides forficatus
Elanus leucurus
Emberiza calandra
Emberiza citrinella
Emberiza schoeniclus
Empidonax difficilis
Empidonax fulvifrons
Empidonax hammondii
Empidonax minimus
Empidonax occidentalis
Empidonax traillii
Eolophus roseicapilla
Ephippiorhynchus senegalensis
Eremophila alpestris
Erithacus rubecula
Estrilda astrild
Eudocimus albus
Eudyptula minor
Eugenes fulgens
Eumomota superciliosa
Euphagus carolinus
Euphagus cyanocephalus
Euphonia affinis
Euphonia elegantissima
Euphonia hirundinacea
Eupsittula canicularis
Eupsittula nana
Falcipennis canadensis
Falco columbarius
Falco femoralis
Falco mexicanus
Falco novaeseelandiae
Falco peregrinus
Falco rufigularis
Falco sparverius
Falco subbuteo
Falco tinnunculus
Ficedula hypoleuca
Florisuga mellivora
Francolinus pondicerianus
Fratercula arctica
Fratercula cirrhata
Fregata magnificens
Fregata minor
Fringilla coelebs
Fringilla montifringilla
Fulica americana
Fulica atra
Fulmarus glacialis
Galbula ruficauda
Galerida cristata
Gallinago delicata
Gallinago gallinago
Gallinula chloropus
Gallinula galeata
Gallinula tenebrosa
Gallirallus australis
Gallus gallus
Gallus gallus domesticus
Garrulus glandarius
Gavia immer
Gavia pacifica
Gavia stellata
Gelochelidon nilotica
Geococcyx californianus
Geococcyx velox
Geopelia striata
Geothlypis formosa
Geothlypis philadelphia
Geothlypis tolmiei
Geothlypis trichas
Geranoaetus albicaudatus
Gerygone igata
Glaucidium brasilianum
Glaucidium gnoma
Grallina cyanoleuca
Grus americana
Grus grus
Gygis alba
Gymnogyps californianus
Gymnorhina tibicen
Gyps africanus
Gyps fulvus
Haematopus bachmani
Haematopus finschi
Haematopus ostralegus
Haematopus palliatus
Haematopus unicolor
Haemorhous cassinii
Haemorhous mexicanus
Haemorhous purpureus
Halcyon smyrnensis
Haliaeetus leucocephalus
Haliaeetus leucogaster
Haliaeetus vocifer
Haliastur indus
Helmitheros vermivorum
Hemiphaga novaeseelandiae
Herpetotheres cachinnans
Himantopus himantopus
Himantopus leucocephalus
Himantopus mexicanus
Hirundo neoxena
Hirundo rustica
Hirundo rustica erythrogaster
Histrionicus histrionicus
Hydroprogne caspia
Hylocharis leucotis
Hylocichla mustelina
Hymenolaimus malacorhynchos
Icteria virens
Icterus abeillei
Icterus bullockii
Icterus cucullatus
Icterus galbula
Icterus graduacauda
Icterus gularis
Icterus parisorum
Icterus pustulatus
Icterus spurius
Icterus wagleri
Ictinia mississippiensis
Ixobrychus exilis
Ixoreus naevius
Jabiru mycteria
Jacana jacana
Jacana spinosa
Junco hyemalis
Junco hyemalis caniceps
Junco hyemalis hyemalis
Junco hyemalis oreganus
Junco phaeonotus
Lagopus lagopus
Lampornis clemenciae
Lanius collurio
Lanius excubitor
Lanius ludovicianus
Larus argentatus
Larus argentatus smithsonianus
Larus californicus
Larus canus
Larus delawarensis
Larus dominicanus
Larus dominicanus dominicanus
Larus fuscus
Larus glaucescens
Larus glaucescens  occidentalis
Larus glaucoides
Larus heermanni
Larus hyperboreus
Larus livens
Larus marinus
Larus michahellis
Larus occidentalis
Larus thayeri
Leptoptilos crumenifer
Leptotila verreauxi
Leucophaeus atricilla
Leucophaeus pipixcan
Limnodromus griseus
Limnodromus scolopaceus
Limosa fedoa
Limosa haemastica
Limosa lapponica
Limosa limosa
Lonchura oryzivora
Lonchura punctulata
Lophodytes cucullatus
Lophura leucomelanos
Loxia curvirostra
Loxia leucoptera
Luscinia svecica
Malurus cyaneus
Manorina melanocephala
Megaceryle alcyon
Megaceryle torquata
Megadyptes antipodes
Megarynchus pitangua
Megascops asio
Megascops kennicottii
Melanerpes aurifrons
Melanerpes carolinus
Melanerpes chrysogenys
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes lewis
Melanerpes pucherani
Melanerpes uropygialis
Melanitta americana
Melanitta fusca
Melanitta perspicillata
Melanotis caerulescens
Meleagris gallopavo
Meleagris gallopavo intermedia
Meleagris gallopavo silvestris
Meleagris ocellata
Melopsittacus undulatus
Melospiza georgiana
Melospiza lincolnii
Melospiza melodia
Melozone aberti
Melozone crissalis
Melozone fusca
Mergus merganser
Mergus serrator
Merops apiaster
Merops orientalis
Merops pusillus
Microcarbo melanoleucos
Microcarbo melanoleucos brevirostris
Milvago chimachima
Milvus migrans
Milvus milvus
Mimus gilvus
Mimus polyglottos
Mitrephanes phaeocercus
Mniotilta varia
Molothrus aeneus
Molothrus ater
Momotus coeruliceps
Momotus lessonii
Momotus mexicanus
Monticola solitarius
Morus bassanus
Morus serrator
Motacilla aguimp
Motacilla alba
Motacilla cinerea
Motacilla flava
Muscicapa striata
Myadestes townsendi
Mycteria americana
Mycteria ibis
Myiarchus cinerascens
Myiarchus crinitus
Myiarchus tuberculifer
Myiarchus tyrannulus
Myioborus miniatus
Myioborus pictus
Myiodynastes luteiventris
Myiopsitta monachus
Myiozetetes similis
Nestor meridionalis
Nestor meridionalis septentrionalis
Nestor notabilis
Netta rufina
Ninox novaeseelandiae novaeseelandiae
Notiomystis cincta
Nucifraga columbiana
Numenius americanus
Numenius arquata
Numenius phaeopus
Numida meleagris
Nyctanassa violacea
Nyctibius jamaicensis
Nycticorax nycticorax
Nyctidromus albicollis
Oceanites oceanicus
Ocyphaps lophotes
Oenanthe oenanthe
Onychognathus morio
Onychoprion fuscatus
Opisthocomus hoazin
Oreoscoptes montanus
Oreothlypis celata
Oreothlypis peregrina
Oreothlypis ruficapilla
Oriturus superciliosus
Ortalis poliocephala
Ortalis vetula
Oxyura jamaicensis
Pachyramphus aglaiae
Pandion haliaetus
Parabuteo unicinctus
Parkesia motacilla
Parkesia noveboracensis
Paroaria capitata
Paroaria coronata
Parus major
Passer domesticus
Passer italiae
Passer montanus
Passerculus sandwichensis
Passerella iliaca
Passerina amoena
Passerina caerulea
Passerina ciris
Passerina cyanea
Passerina leclancherii
Passerina versicolor
Patagioenas fasciata
Patagioenas flavirostris
Patagioenas leucocephala
Pavo cristatus
Pelecanus conspicillatus
Pelecanus erythrorhynchos
Pelecanus occidentalis
Pelecanus occidentalis californicus
Pelecanus occidentalis carolinensis
Pelecanus onocrotalus
Penelope purpurascens
Periparus ater
Perisoreus canadensis
Petrochelidon fulva
Petrochelidon pyrrhonota
Petroica australis australis
Petroica australis longipes
Petroica macrocephala macrocephala
Peucaea ruficauda
Phaethon aethereus
Phainopepla nitens
Phalacrocorax auritus
Phalacrocorax brasilianus
Phalacrocorax carbo
Phalacrocorax carbo novaehollandiae
Phalacrocorax pelagicus
Phalacrocorax penicillatus
Phalacrocorax sulcirostris
Phalacrocorax varius
Phalacrocorax varius varius
Phalaenoptilus nuttallii
Phalaropus fulicarius
Phalaropus lobatus
Phalaropus tricolor
Pharomachrus mocinno
Phasianus colchicus
Pheucticus ludovicianus
Pheucticus melanocephalus
Philesturnus rufusater
Phoebastria immutabilis
Phoebastria nigripes
Phoenicopterus roseus
Phoenicopterus ruber
Phoenicurus ochruros
Phoenicurus phoenicurus
Phylloscopus collybita
Piaya cayana
Pica hudsonia
Pica nuttalli
Pica pica
Picoides albolarvatus
Picoides arcticus
Picoides dorsalis
Picoides nuttallii
Picoides pubescens
Picoides scalaris
Picoides villosus
Picus viridis
Pinicola enucleator
Pipilo chlorurus
Pipilo erythrophthalmus
Pipilo maculatus
Piranga bidentata
Piranga flava
Piranga ludoviciana
Piranga olivacea
Piranga rubra
Pitangus sulphuratus
Platalea ajaja
Platalea alba
Platalea leucorodia
Platalea regia
Platycercus elegans
Platycercus eximius
Plectrophenax nivalis
Plegadis chihi
Plegadis falcinellus
Pluvialis dominica
Pluvialis fulva
Pluvialis squatarola
Podiceps auritus
Podiceps cristatus
Podiceps grisegena
Podiceps nigricollis
Podilymbus podiceps
Poecile atricapillus
Poecile carolinensis
Poecile gambeli
Poecile rufescens
Polioptila caerulea
Polioptila melanura
Pooecetes gramineus
Porphyrio hochstetteri
Porphyrio martinicus
Porphyrio melanotus
Porphyrio melanotus melanotus
Porphyrio poliocephalus
Porzana carolina
Progne subis
Prosthemadera novaeseelandiae
Prosthemadera novaeseelandiae novaeseelandiae
Protonotaria citrea
Prunella modularis
Psaltriparus minimus
Psarocolius montezuma
Psilorhinus morio
Psittacara erythrogenys
Psittacara holochlorus
Psittacula krameri
Pteroglossus torquatus
Ptiliogonys cinereus
Pycnonotus barbatus
Pycnonotus cafer
Pycnonotus jocosus
Pyrocephalus rubinus
Pyrrhocorax graculus
Pyrrhula pyrrhula
Quiscalus major
Quiscalus mexicanus
Quiscalus niger
Quiscalus quiscula
Rallus crepitans
Rallus limicola
Rallus obsoletus
Ramphastos ambiguus
Ramphastos sulfuratus
Ramphocelus passerinii
Recurvirostra americana
Recurvirostra avosetta
Regulus calendula
Regulus ignicapilla
Regulus regulus
Regulus satrapa
Rhipidura fuliginosa
Rhipidura fuliginosa fuliginosa
Rhipidura fuliginosa placabilis
Rhipidura leucophrys
Riparia riparia
Rissa tridactyla
Rostrhamus sociabilis
Rupornis magnirostris
Rynchops niger
Sagittarius serpentarius
Salpinctes obsoletus
Saltator atriceps
Saltator coerulescens
Sarcoramphus papa
Saxicola rubetra
Saxicola rubicola
Sayornis nigricans
Sayornis phoebe
Sayornis saya
Scolopax minor
Scopus umbretta
Seiurus aurocapilla
Selasphorus calliope
Selasphorus platycercus
Selasphorus rufus
Selasphorus sasin
Serinus mozambicus
Serinus serinus
Setophaga americana
Setophaga caerulescens
Setophaga castanea
Setophaga cerulea
Setophaga chrysoparia
Setophaga citrina
Setophaga coronata
Setophaga coronata auduboni
Setophaga coronata coronata
Setophaga discolor
Setophaga dominica
Setophaga fusca
Setophaga magnolia
Setophaga nigrescens
Setophaga occidentalis
Setophaga palmarum
Setophaga pensylvanica
Setophaga petechia
Setophaga pinus
Setophaga ruticilla
Setophaga striata
Setophaga tigrina
Setophaga townsendi
Setophaga virens
Sialia currucoides
Sialia mexicana
Sialia sialis
Sicalis flaveola
Sitta canadensis
Sitta carolinensis
Sitta europaea
Sitta pusilla
Sitta pygmaea
Somateria mollissima
Spheniscus demersus
Sphyrapicus nuchalis
Sphyrapicus ruber
Sphyrapicus thyroideus
Sphyrapicus varius
Spinus lawrencei
Spinus pinus
Spinus psaltria
Spinus spinus
Spinus tristis
Spiza americana
Spizella atrogularis
Spizella breweri
Spizella pallida
Spizella passerina
Spizella pusilla
Spizelloides arborea
Sporophila torqueola
Stelgidopteryx serripennis
Stercorarius parasiticus
Stercorarius pomarinus
Sterna forsteri
Sterna hirundo
Sterna paradisaea
Sterna striata
Sternula antillarum
Streptopelia chinensis
Streptopelia decaocto
Streptopelia senegalensis
Streptopelia turtur
Strix nebulosa
Strix varia
Struthio camelus
Sturnella magna
Sturnella neglecta
Sturnus vulgaris
Sula dactylatra
Sula granti
Sula leucogaster
Sula nebouxii
Sula sula
Surnia ulula
Sylvia atricapilla
Sylvia communis
Tachybaptus dominicus
Tachybaptus ruficollis
Tachycineta albilinea
Tachycineta bicolor
Tachycineta thalassina
Tadorna ferruginea
Tadorna tadorna
Tadorna variegata
Terathopius ecaudatus
Thalasseus bergii
Thalasseus elegans
Thalasseus maximus
Thalasseus sandvicensis
Thamnophilus doliatus
Thraupis abbas
Thraupis episcopus
Thraupis palmarum
Threskiornis aethiopicus
Threskiornis moluccus
Thryomanes bewickii
Thryothorus ludovicianus
Tiaris olivaceus
Tigrisoma mexicanum
Tityra semifasciata
Todiramphus chloris
Todiramphus sanctus
Todiramphus sanctus vagans
Toxostoma curvirostre
Toxostoma longirostre
Toxostoma redivivum
Toxostoma rufum
Trichoglossus haematodus
Tringa flavipes
Tringa glareola
Tringa incana
Tringa melanoleuca
Tringa nebularia
Tringa ochropus
Tringa semipalmata
Tringa semipalmata inornatus
Tringa solitaria
Tringa totanus
Troglodytes aedon
Troglodytes hiemalis
Troglodytes pacificus
Troglodytes troglodytes
Trogon caligatus
Trogon citreolus
Trogon collaris
Trogon elegans
Trogon massena
Trogon melanocephalus
Turdus grayi
Turdus merula
Turdus migratorius
Turdus philomelos
Turdus pilaris
Turdus plumbeus
Turdus rufopalliatus
Turdus viscivorus
Tyrannus couchii
Tyrannus crassirostris
Tyrannus dominicensis
Tyrannus forficatus
Tyrannus melancholicus
Tyrannus savana
Tyrannus tyrannus
Tyrannus verticalis
Tyrannus vociferans
Tyto alba
Upupa epops
Uria aalge
Vanellus armatus
Vanellus chilensis
Vanellus miles
Vanellus spinosus
Vanellus vanellus
Vermivora chrysoptera
Vermivora cyanoptera
Vireo bellii
Vireo cassinii
Vireo flavifrons
Vireo gilvus
Vireo griseus
Vireo huttoni
Vireo olivaceus
Vireo philadelphicus
Vireo plumbeus
Vireo solitarius
Volatinia jacarina
Xanthocephalus xanthocephalus
Xema sabini
Xiphorhynchus flavigaster
Zenaida asiatica
Zenaida auriculata
Zenaida aurita
Zenaida macroura
Zonotrichia albicollis
Zonotrichia atricapilla
Zonotrichia capensis
Zonotrichia leucophrys
Zonotrichia querula
Zosterops japonicus
Zosterops lateralis
Zosterops lateralis lateralis
