id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
201408223,fe9bdb82-6f8d-4b4e-aa32-be6f749d0bbf,2024-03-05 16:31:13-05:00,2024-03-05,2024-03-05 21:31:13 UTC,Eastern Time (US & Canada),7729775,morgpap3,,2024-03-05 21:32:58 UTC,2024-03-06 14:50:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201408223,https://inaturalist-open-data.s3.amazonaws.com/photos/355531957/medium.jpg,,"","",2,0,false,3,"Trent University, Peterborough, ON, CA",44.3524043028,-78.2860127686,202,,,,202,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201411131,644dfcaa-60aa-4db1-9215-5e31461e4e39,2024-03-05 15:33:58,2024-03-05,2024-03-05 20:33:58 UTC,Eastern Time (US & Canada),5508084,probably_exists,"",2024-03-05 22:01:17 UTC,2024-03-07 14:07:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201411131,https://inaturalist-open-data.s3.amazonaws.com/photos/355536776/medium.jpeg,,"",,2,0,false,2,"New York, US",42.1691211421,-79.3216644775,27,,,,27692,obscured,open,true,gps,gps,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201481262,3787e27d-322f-4bcc-b0f8-13baa73fd2b4,2024-03-04 15:30:12-05:00,2024-03-04,2024-03-04 20:30:12 UTC,Eastern Time (US & Canada),988565,dbugs,,2024-03-06 15:36:44 UTC,2024-03-08 06:54:09 UTC,research,,https://www.inaturalist.org/observations/201481262,https://inaturalist-open-data.s3.amazonaws.com/photos/355672223/medium.jpg,,"","",3,0,false,3,"Case Western Reserve University, Cleveland, OH, US",41.5035083333,-81.6079783333,26,,,,26,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201534592,aaed5996-e4af-485c-9cee-e6ecc4a3dced,2024/03/06 10:46 AM,2024-03-06,2024-03-06 15:46:00 UTC,Eastern Time (US & Canada),1964716,dmfraser,Donald Fraser,2024-03-07 01:50:50 UTC,2024-04-26 20:04:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201534592,https://inaturalist-open-data.s3.amazonaws.com/photos/355771449/medium.jpeg,,"",,4,0,false,,"Sun City Center, FL, USA",27.6758483877,-82.3534611225,27,,,,27,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201538796,f7590782-9d08-48df-b8c6-3420b71359fe,2024/03/06 11:48 AM,2024-03-06,2024-03-06 16:48:00 UTC,Eastern Time (US & Canada),1960620,cpgibson,"",2024-03-07 02:43:14 UTC,2024-11-03 11:26:46 UTC,research,,https://www.inaturalist.org/observations/201538796,https://inaturalist-open-data.s3.amazonaws.com/photos/355781247/medium.jpg,,"",Queen,5,0,false,,"Sun City Center, FL, USA",27.6771866943,-82.3623507894,526,,,,526,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201538816,3802f5e9-fda6-4673-9ff8-73e3748309b5,2024/03/06 3:18 PM,2024-03-06,2024-03-06 20:18:00 UTC,Eastern Time (US & Canada),1960620,cpgibson,"",2024-03-07 02:43:19 UTC,2024-11-03 11:26:46 UTC,research,,https://www.inaturalist.org/observations/201538816,https://inaturalist-open-data.s3.amazonaws.com/photos/355781452/medium.jpg,,"",Queen,3,0,false,,"Sun City Center, FL, USA",27.6771866943,-82.3623507894,526,,,,526,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201587766,ba9d669d-a71b-4921-82a4-bb92c2f65ffd,2024-03-07 11:49:57-05:00,2024-03-07,2024-03-07 16:49:57 UTC,Eastern Time (US & Canada),49804,cmstinson,C. Michael Stinson,2024-03-07 16:50:47 UTC,2024-03-08 01:58:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201587766,https://static.inaturalist.org/photos/355876552/medium.jpg,,"",Two individuals were seen within about a meter of each other. ,3,0,false,3,"Rocky Hill Rd, Madison Heights, VA, US",37.4138562622,-79.1348341952,4,,,,4,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201609736,c9d72e89-0c3f-4cce-a5b5-62b1cfd601d9,Thu Mar 07 2024 15:52:28 GMT -0500 (EST),2024-03-07,2024-03-07 20:52:28 UTC,Eastern Time (US & Canada),1422482,codyfeuer,,2024-03-07 20:52:35 UTC,2024-03-12 05:11:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201609736,https://inaturalist-open-data.s3.amazonaws.com/photos/355918186/medium.jpeg,,"",,3,0,false,333,State College,40.7961120605,-77.8637619019,1414,,,,1414,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201609893,52f2cf3e-a5b7-4bac-b293-67a532e2508c,Thu Mar 07 2024 15:53:42 GMT -0500 (EST),2024-03-07,2024-03-07 20:53:42 UTC,Eastern Time (US & Canada),5060383,aeb317,A,2024-03-07 20:53:53 UTC,2024-04-26 20:04:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201609893,https://inaturalist-open-data.s3.amazonaws.com/photos/356132864/medium.jpeg,,"",,3,0,false,333,Saint Augustine,29.8513374329,-81.2655181885,67,,,,67,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201612873,f73fb0a0-1497-421e-b00c-203eefcf1658,2024-03-07 16:08:00-05:00,2024-03-07,2024-03-07 21:08:00 UTC,Eastern Time (US & Canada),2841182,zm77,,2024-03-07 21:23:08 UTC,2024-10-21 08:08:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201612873,https://inaturalist-open-data.s3.amazonaws.com/photos/355924171/medium.jpg,,"",First yard Bombus of the year ,2,0,false,3,"SW 55th Ln, Gainesville, FL, US",29.6030581876,-82.4495214073,24,,,,24,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201625163,901b8bf0-5f36-494f-8651-c6740baf78fe,2024-03-07 16:35:22-06:00,2024-03-07,2024-03-07 22:35:22 UTC,Central Time (US & Canada),785723,mgt19,,2024-03-07 23:29:57 UTC,2024-03-26 07:48:02 UTC,research,,https://www.inaturalist.org/observations/201625163,https://static.inaturalist.org/photos/355947811/medium.jpg,,"","",2,0,false,3,"Auburn University, Auburn, AL, US",32.59707,-85.4843666667,4,,,,4,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201628149,f71e4722-b61d-4a74-9ecf-bd6acaac1e47,2024-03-07 11:54:11,2024-03-07,2024-03-07 16:54:11 UTC,Eastern Time (US & Canada),7177805,lyraeal,Vega,2024-03-08 00:03:29 UTC,2024-03-11 19:55:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201628149,https://inaturalist-open-data.s3.amazonaws.com/photos/355953173/medium.jpeg,,"",,3,0,false,2,"Charleston, SC 29414, USA",32.8798305556,-80.08405,,,,,,,open,false,gps,gps,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201697306,08a3d9fe-da2d-40cf-bdd5-09156df8f8a8,2024-03-08 12:51:00-05:00,2024-03-08,2024-03-08 17:51:00 UTC,Eastern Time (US & Canada),1942396,kellypleonard,"",2024-03-08 18:00:10 UTC,2024-03-11 19:52:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201697306,https://inaturalist-open-data.s3.amazonaws.com/photos/356086829/medium.jpg,,"","",3,0,false,3,"Hagin Ln, Statesboro, GA, US",32.4110034145,-81.7151671093,47,,,,47,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201788205,cd2029ab-b09a-403a-96c9-18330f586c46,2024-03-08 15:09:02-05:00,2024-03-08,2024-03-08 20:09:02 UTC,Eastern Time (US & Canada),2997530,backyard1,,2024-03-09 14:18:50 UTC,2024-03-11 00:03:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201788205,https://inaturalist-open-data.s3.amazonaws.com/photos/356265159/medium.jpg,,"",Found on my driveway March 8th! Crossing fingers for this one. There are no flowers in my area yet.,3,0,false,3,"Glace Bay Rd, Mississauga, ON, CA",43.5740942528,-79.7504414485,22,,,,22,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201795236,d0911255-405d-49dd-8bae-e1c0a2128c47,2024-03-06 15:43:11-05:00,2024-03-06,2024-03-06 20:43:11 UTC,Eastern Time (US & Canada),7409601,erebus2017,,2024-03-09 15:29:18 UTC,2024-03-11 00:03:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201795236,https://inaturalist-open-data.s3.amazonaws.com/photos/356278115/medium.jpg,,"","",2,0,false,3,"Quincy, FL, US",30.6263366667,-84.8918216667,4,,,,4,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201800558,bf2f779f-97af-4f42-8fb3-ce5e33124890,2024-03-07 12:47:52-05:00,2024-03-07,2024-03-07 17:47:52 UTC,Eastern Time (US & Canada),1216811,ragbird,,2024-03-09 16:15:24 UTC,2024-09-26 03:22:11 UTC,research,CC0,https://www.inaturalist.org/observations/201800558,https://inaturalist-open-data.s3.amazonaws.com/photos/356287357/medium.jpg,,"","",3,0,false,3,"Magnolia Ave, Charlotte, NC, US",35.2021416667,-80.8515916667,23,,,,23,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201828422,79069562-1d36-4b4b-a33b-5bf43215c50f,2024-03-09 14:25:01-05:00,2024-03-09,2024-03-09 19:25:01 UTC,Eastern Time (US & Canada),1809393,jtkindt,James Kindt,2024-03-09 20:19:30 UTC,2024-03-11 00:02:41 UTC,research,CC0,https://www.inaturalist.org/observations/201828422,https://inaturalist-open-data.s3.amazonaws.com/photos/356340989/medium.jpg,,"",First visited Celandine poppy then deadnettle.  ,3,0,false,3,"Oakview Rd, Decatur, GA, US",33.7624184352,-84.2966744632,24,,,,24,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201828598,ca86f30d-a8bf-4149-8305-47dd44a1bd8f,2024-03-09 13:57:56-05:00,2024-03-09,2024-03-09 18:57:56 UTC,Eastern Time (US & Canada),1809393,jtkindt,James Kindt,2024-03-09 20:21:09 UTC,2024-03-11 00:02:37 UTC,research,CC0,https://www.inaturalist.org/observations/201828598,https://inaturalist-open-data.s3.amazonaws.com/photos/356341306/medium.jpg,,"","",3,0,false,3,"Agnes Scott College, Decatur, GA, US",33.7642154442,-84.2951439584,24,,,,24,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201866268,597374b5-76fb-4f4e-bcbf-c219e3b3d110,2024-03-09 20:06:00-05:00,2024-03-09,2024-03-10 01:06:00 UTC,Eastern Time (US & Canada),3966003,awearp,,2024-03-10 02:07:49 UTC,2024-03-11 00:02:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201866268,https://inaturalist-open-data.s3.amazonaws.com/photos/356417946/medium.jpg,,"","",2,0,false,3,"Jogging Ct, Raleigh, NC, US",35.613055,-78.6236116667,,,,,,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201915017,3d6856d1-2fa5-45fa-8762-263f10d4f993,Sun Mar 10 2024 09:46:32 GMT -0400 (EDT),2024-03-10,2024-03-10 13:46:32 UTC,Eastern Time (US & Canada),7713433,meldarionzemi,David Lozada,2024-03-10 13:47:57 UTC,2024-03-11 00:02:06 UTC,research,,https://www.inaturalist.org/observations/201915017,https://static.inaturalist.org/photos/356514111/medium.jpeg,,"","Wray, GA",2,0,false,333,Wray,31.654510498,-83.0299682617,3,,,,3,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201923389,a341dcc6-132a-411f-b880-976268440eef,2024-03-09 16:47:00-05:00,2024-03-09,2024-03-09 21:47:00 UTC,Eastern Time (US & Canada),1950715,twd111701,Ian I,2024-03-10 15:13:52 UTC,2024-03-11 00:01:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201923389,https://inaturalist-open-data.s3.amazonaws.com/photos/356529529/medium.jpg,,"","",3,0,false,3,"Swannanoa, NC, US",35.6075866667,-82.4332366667,4,,,,4,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201926355,72e85f32-b54b-49b5-b3fe-f51e18d85879,2024-03-10 11:32:12-04:00,2024-03-10,2024-03-10 15:32:12 UTC,Eastern Time (US & Canada),5812473,wildlife_lore,Hayes Valentine,2024-03-10 15:39:47 UTC,2024-03-11 00:01:41 UTC,research,CC-BY,https://www.inaturalist.org/observations/201926355,https://inaturalist-open-data.s3.amazonaws.com/photos/356534671/medium.jpg,,"","",3,0,false,3,"Kelsall Dr, Richmond Hill, GA, US",31.8981239496,-81.2587505634,18,,,,18,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202051502,284afa5d-abc5-4c7d-a722-18c64a719f41,2024-03-08 16:04:53-05:00,2024-03-08,2024-03-08 21:04:53 UTC,America/Thunder_Bay,1205273,jessiemcfadden,"",2024-03-11 14:47:57 UTC,2024-03-21 04:12:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/202051502,https://inaturalist-open-data.s3.amazonaws.com/photos/356776695/medium.jpg,,"","",3,0,false,3,"Conservation Rd, Thunder Bay, ON, CA",48.4213466667,-89.27527,27,,,,27,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202054019,e95faf7d-6889-454c-9476-43bd85c9e2e7,2024-03-11 11:17:28-04:00,2024-03-11,2024-03-11 15:17:28 UTC,Eastern Time (US & Canada),3022324,flnanny,Diann Schultz,2024-03-11 15:17:33 UTC,2024-04-26 20:03:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/202054019,https://inaturalist-open-data.s3.amazonaws.com/photos/357945475/medium.jpg,,"","",3,0,false,3,"Maclay Gardens State Park, Tallahassee, FL, US",30.522940168,-84.2566354744,4,,,,4,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202064398,2a7fd703-65ce-432b-8e2d-3cd78c29ab00,2024-03-11 12:03:00-05:00,2024-03-11,2024-03-11 17:03:00 UTC,Central Time (US & Canada),7718847,libbywessels,,2024-03-11 17:03:55 UTC,2024-03-26 07:44:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/202064398,https://inaturalist-open-data.s3.amazonaws.com/photos/356800945/medium.jpg,,"","",5,0,false,3,"Auburn University, Auburn, AL, US",32.6011866667,-85.4858466667,6,,,,6,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202102806,5698806f-691e-4349-8516-37e201062c9b,2024-03-11 18:14:55-05:00,2024-03-11,2024-03-11 23:14:55 UTC,Central Time (US & Canada),1137584,trudee,Trudee Manderfield,2024-03-11 23:15:12 UTC,2024-06-10 14:45:24 UTC,research,,https://www.inaturalist.org/observations/202102806,https://static.inaturalist.org/photos/356874650/medium.jpg,,"","",5,0,false,3,"Pinnacle Ct, Aurora, IL, US",41.8145973003,-88.2725187578,6,,,,6,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202186336,968a2297-166d-4ba2-9f84-e7d393040867,2024-03-12 13:42:11-05:00,2024-03-12,2024-03-12 18:42:11 UTC,Central Time (US & Canada),7865148,blom_cla000,,2024-03-12 18:42:20 UTC,2024-03-27 16:17:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/202186336,https://inaturalist-open-data.s3.amazonaws.com/photos/357039741/medium.jpg,,"",Bumblebee,2,0,false,3,"Olbrich Botanical Gardens, Madison, WI, US",43.0917642313,-89.3346903753,3,,,,3,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202194158,9f80a95f-a9b7-4ec7-bbca-3b3809b89aff,2024-03-12 14:59:02-04:00,2024-03-12,2024-03-12 18:59:02 UTC,Eastern Time (US & Canada),1979039,hellbender23,,2024-03-12 19:51:44 UTC,2024-03-21 04:12:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/202194158,https://inaturalist-open-data.s3.amazonaws.com/photos/357300245/medium.jpg,,"","",2,0,false,3,"Mimosa St, Richmond Hill, GA, US",31.9352583333,-81.3041533333,4,,,,4,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202194650,bad9b01a-54f5-49d0-9512-e7e29ace0952,2024-03-12 15:55:54-04:00,2024-03-12,2024-03-12 19:55:54 UTC,America/Detroit,1002789,sbmarchuk,"",2024-03-12 19:56:47 UTC,2024-03-21 04:12:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/202194650,https://inaturalist-open-data.s3.amazonaws.com/photos/357056416/medium.jpg,,"","",3,0,false,3,"Morrish Rd, Swartz Creek, MI, US",42.930205,-83.8302783333,10,,,,10,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202209024,3277abb3-5b29-482a-b548-862f7650ed68,Tue Mar 12 2024 18:00:04 GMT -0400 (GMT-4),2024-03-12,2024-03-12 22:00:04 UTC,Eastern Time (US & Canada),3254466,scohlendorf,scohlendorf,2024-03-12 22:00:12 UTC,2024-03-17 02:00:45 UTC,research,CC-BY,https://www.inaturalist.org/observations/202209024,https://inaturalist-open-data.s3.amazonaws.com/photos/357084438/medium.jpeg,,"",,3,1,false,333,Baltimore,39.335067749,-76.5680618286,13,,,,13,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202211469,69d219ac-2564-48c6-9949-ffaa419a8716,2024/03/11 12:10 PM,2024-03-11,2024-03-11 16:10:00 UTC,Eastern Time (US & Canada),907409,mfeaver,"",2024-03-12 22:20:23 UTC,2024-04-26 20:03:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/202211469,https://inaturalist-open-data.s3.amazonaws.com/photos/357088364/medium.jpeg,,"","I think this is the blueberry digger bee, but it is as large as the eastern bumble bee. ",5,0,false,,"Quincy, FL, USA",30.5601134175,-84.5426494917,4216,,,,4216,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202263667,ffaabaa8-cac1-4a7c-ac6e-44f1c2fb3ce8,2024-03-08 11:22:27,2024-03-08,2024-03-08 16:22:27 UTC,Eastern Time (US & Canada),3260696,serenduckity,apegram,2024-03-13 11:00:06 UTC,2024-05-03 16:09:38 UTC,research,,https://www.inaturalist.org/observations/202263667,https://static.inaturalist.org/photos/357194256/medium.jpeg,,"",,4,0,false,2,"E FAYETTEVLLE, NC 28301, USA",35.0522795038,-78.8783775643,18888,,,,18888,,open,false,gps,gps,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202286470,a99de17a-987a-4485-aa01-29a7241e66f0,2024-03-13 11:51:33-04:00,2024-03-13,2024-03-13 15:51:33 UTC,Eastern Time (US & Canada),431613,cflatow,Carl Flatow,2024-03-13 15:53:27 UTC,2024-09-04 13:34:10 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/202286470,https://static.inaturalist.org/photos/357237126/medium.jpg,,"","",3,0,false,3,United States,40.7337242795,-73.7242468063,20,,,,27908,obscured,open,true,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
202288757,2a02fca2-1fbe-4596-bfef-9f57909812d0,2024-03-13 12:15:17-04:00,2024-03-13,2024-03-13 16:15:17 UTC,America/Detroit,1002789,sbmarchuk,"",2024-03-13 16:16:03 UTC,2024-03-21 04:11:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/202288757,https://inaturalist-open-data.s3.amazonaws.com/photos/357241539/medium.jpg,,"","",4,0,false,3,"Morrish Rd, Swartz Creek, MI, US",42.93017,-83.8303083333,10,,,,10,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
